icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
ade609,JBU772  ,United States,1749938518.0,1749938518,-77.6102,37.4605,10972.8,False,261.59,40.61,0.33,,11559.54,6141,False,0
a20a81,SWA4271 ,United States,1749938518.0,1749938518,-78.7937,33.3905,11887.2,False,224.55,336.08,0.0,,12542.52,6614,False,0
ac1e64,TCF880  ,United States,1749938309.0,1749938309,-80.6857,28.0931,137.16,False,51.51,357.14,-2.6,,160.02,,False,0
a05910,SKW5992 ,United States,1749938518.0,1749938518,-78.2864,34.5404,3901.44,False,166.45,317.88,8.78,,4114.8,,False,0
a57d42,AAL2300 ,United States,1749938518.0,1749938518,-77.8281,40.1317,9144.0,False,218.05,277.73,0.33,,9624.06,2607,False,0
abeb57,SWA1270 ,United States,1749938518.0,1749938518,-76.2778,40.93,5631.18,False,211.18,107.73,-9.75,,5875.02,2742,False,0
a05940,AAL1913 ,United States,1749938518.0,1749938518,-75.23,38.1724,6690.36,False,231.24,12.99,-5.2,,7025.64,5200,False,0
ab9b9d,UAL3018 ,United States,1749938338.0,1749938338,-77.4463,38.9462,,True,2.83,191.25,,,,0706,False,0
a33ca9,JBU2184 ,United States,1749938518.0,1749938518,-77.9434,36.1264,5532.12,False,213.97,46.56,6.5,,5821.68,3630,False,0
a0a967,UCA4364 ,United States,1749938423.0,1749938423,-77.4573,38.9387,,True,0.06,191.25,,,,,False,0
a0a98a,UCA4348 ,United States,1749938508.0,1749938513,-77.4408,38.9472,,True,0.0,109.69,,,,,False,0
a04695,DAL2266 ,United States,1749938517.0,1749938517,-80.7264,39.7429,10972.8,False,234.73,182.01,0.0,,11513.82,4156,False,0
a0339f,UCA4823 ,United States,1749938518.0,1749938518,-77.7296,40.612,6705.6,False,194.6,342.62,0.0,,7033.26,,False,0
c01d3c,WJA2928 ,Canada,1749938517.0,1749938518,-79.5067,37.6312,10972.8,False,214.92,197.7,0.0,,11544.3,1056,False,0
ab538b,DAL236  ,United States,1749938518.0,1749938519,-79.8021,28.6607,9014.46,False,255.96,69.16,3.9,,9578.34,7277,False,0
a1fe1b,N2275T  ,United States,1749938334.0,1749938339,-74.0814,40.8392,38.1,False,48.11,48.47,-0.98,,45.72,3526,False,0
a0a8da,UAL162  ,United States,1749938478.0,1749938478,-74.1726,40.6929,,True,3.6,300.94,,,,2414,False,0
a9afe7,NKS2112 ,United States,1749938518.0,1749938518,-80.778,40.2771,10980.42,False,223.34,271.45,0.0,,11529.06,7276,False,0
ac860c,CXK308  ,United States,1749938518.0,1749938518,-80.6984,35.4172,350.52,False,33.82,236.79,-1.95,,350.52,,False,0
a33e4a,AAY1996 ,United States,1749938519.0,1749938519,-74.1842,39.9077,10668.0,False,238.18,17.73,0.0,,11209.02,3220,False,0
abb6fd,N854JA  ,United States,1749938518.0,1749938518,-80.9096,38.3247,9753.6,False,190.13,170.03,0.98,,10256.52,,False,0
